"","code_CH","code_EU"
"1","50",NA
"2","51","CP01"
"3","511","CP011"
"4","5111","CP0111"
"5","5111.01",NA
"6","5111.02",NA
"7","5111.03",NA
"8","5111.04",NA
"9","5111.05",NA
"10","5111.06",NA
"11","5111.07",NA
"12","5111.08",NA
"13","5112","CP0112"
"14","5112.01",NA
"15","5112.02",NA
"16","5112.03",NA
"17","5112.04",NA
"18","5112.05",NA
"19","5112.06",NA
"20","5112.07",NA
"21","5112.08",NA
"22","5112.09",NA
"23","5112.10",NA
"24","5112.11",NA
"25","5112.12",NA
"26","5112.13",NA
"27","5113","CP0113"
"28","5113.01",NA
"29","5113.02",NA
"30","5113.03",NA
"31","5113.04",NA
"32","5113.05",NA
"33","5114","CP0114"
"34","5114.01",NA
"35","5114.02",NA
"36","5114.03",NA
"37","5114.04",NA
"38","5114.05",NA
"39","5114.06",NA
"40","5114.07",NA
"41","5114.08",NA
"42","5114.09",NA
"43","5114.10",NA
"44","5115","CP0115"
"45","5115.01",NA
"46","5115.02",NA
"47","5115.03",NA
"48","5115.04",NA
"49","5115.05",NA
"50","5116","CP0116"
"51","5116.01",NA
"52","5116.02",NA
"53","5116.03",NA
"54","5116.04",NA
"55","5116.05",NA
"56","5116.06",NA
"57","5116.07",NA
"58","5116.08",NA
"59","5116.09",NA
"60","5116.10",NA
"61","5116.11",NA
"62","5116.12",NA
"63","5116.13",NA
"64","5117","CP0117"
"65","5117.01",NA
"66","5117.02",NA
"67","5117.03",NA
"68","5117.04",NA
"69","5117.05",NA
"70","5117.06",NA
"71","5117.07",NA
"72","5117.08",NA
"73","5117.09",NA
"74","5117.10",NA
"75","5117.11",NA
"76","5117.12",NA
"77","5117.13",NA
"78","5117.14",NA
"79","5117.15",NA
"80","5118","CP0118"
"81","5118.01",NA
"82","5118.02",NA
"83","5118.03",NA
"84","5118.04","CP01183"
"85","5118.05",NA
"86","5118.06",NA
"87","5118.07",NA
"88","5119","CP0119"
"89","5119.01",NA
"90","5119.02",NA
"91","5119.03",NA
"92","5119.04",NA
"93","5119.05",NA
"94","5119.06",NA
"95","5119.07",NA
"96","5119.08",NA
"97","512","CP012"
"98","5121","CP0121"
"99","5121.01",NA
"100","5121.02",NA
"101","5121.03",NA
"102","5121.04",NA
"103","5122","CP0122"
"104","5122.01",NA
"105","5122.02",NA
"106","5122.03",NA
"107","5122.04",NA
"108","5122.05",NA
"109","52","CP02"
"110","521","CP021"
"111","5211","CP0211"
"112","5211.01",NA
"113","5211.02",NA
"114","5212","CP0212"
"115","5212.01",NA
"116","5212.02",NA
"117","5212.03",NA
"118","5212.04",NA
"119","5212.05",NA
"120","5212.06",NA
"121","5212.07",NA
"122","5212.08",NA
"123","5212.09",NA
"124","5213","CP0213"
"125","5213.00",NA
"126","522","CP022"
"127","5220","CP0220"
"128","5220.01",NA
"129","5220.02",NA
"130","53","CP11"
"131","531","CP111"
"132","5311",NA
"133","5311.01",NA
"134","5311.02",NA
"135","5311.03",NA
"136","5312",NA
"137","5312.01",NA
"138","5312.02",NA
"139","5312.03",NA
"140","5313",NA
"141","5313.01",NA
"142","5313.02",NA
"143","5313.03",NA
"144","5314",NA
"145","5314.01",NA
"146","5314.02",NA
"147","5314.03",NA
"148","532","CP112"
"149","5320",NA
"150","5320.01",NA
"151","5320.02",NA
"152","56","CP03"
"153","561","CP031"
"154","5611",NA
"155","5611.00",NA
"156","5612",NA
"157","5612.01",NA
"158","5612.02",NA
"159","5612.03",NA
"160","5612.04",NA
"161","5612.05",NA
"162","5612.06",NA
"163","5613",NA
"164","5613.01",NA
"165","5613.02",NA
"166","5613.03",NA
"167","5613.04",NA
"168","5613.05",NA
"169","5613.06",NA
"170","5613.07",NA
"171","5614",NA
"172","5614.01",NA
"173","5614.02",NA
"174","5614.03",NA
"175","5614.04",NA
"176","5614.05",NA
"177","5614.06",NA
"178","5615",NA
"179","5615.01",NA
"180","5615.02",NA
"181","5616",NA
"182","5616.00",NA
"183","562","CP032"
"184","5621",NA
"185","5621.00",NA
"186","5622",NA
"187","5622.00",NA
"188","5623",NA
"189","5623.00",NA
"190","5624",NA
"191","5624.00",NA
"192","57","CP04"
"193","571",NA
"194","5711",NA
"195","5711.00",NA
"196","5712",NA
"197","5712.01",NA
"198","5712.02",NA
"199","5712.03",NA
"200","5712.04",NA
"201","5712.05",NA
"202","5713",NA
"203","5713.01",NA
"204","5713.02",NA
"205","5713.03",NA
"206","572",NA
"207","5721",NA
"208","5721.00",NA
"209","5722",NA
"210","5722.00",NA
"211","5723",NA
"212","5723.00",NA
"213","573",NA
"214","5730",NA
"215","5730.01",NA
"216","5730.02",NA
"217","58","CP05"
"218","581","CP051"
"219","5810",NA
"220","5810.01",NA
"221","5810.02",NA
"222","5810.03",NA
"223","5810.04",NA
"224","5810.05",NA
"225","582","CP052"
"226","5820",NA
"227","5820.01",NA
"228","5820.02",NA
"229","5820.03",NA
"230","583","CP053"
"231","5831",NA
"232","5831.01",NA
"233","5831.02",NA
"234","5831.03",NA
"235","5831.04",NA
"236","5832",NA
"237","5832.01",NA
"238","5832.02",NA
"239","5832.03",NA
"240","5832.04",NA
"241","584","CP055"
"242","5841",NA
"243","5841.01",NA
"244","5841.02",NA
"245","5842",NA
"246","5842.00",NA
"247","585","CP056"
"248","5851",NA
"249","5851.01",NA
"250","5851.02",NA
"251","5851.03",NA
"252","5851.04",NA
"253","5852",NA
"254","5852.00",NA
"255","61","CP06"
"256","611",NA
"257","6110",NA
"258","6110.01",NA
"259","6110.02",NA
"260","6110.03",NA
"261","612",NA
"262","6120",NA
"263","6120.01",NA
"264","6120.02",NA
"265","6120.03",NA
"266","6120.04",NA
"267","6120.05",NA
"268","62","CP07"
"269","621","CP071"
"270","6211","CP0711"
"271","6211.01",NA
"272","6211.02",NA
"273","6212","CP0712"
"274","6212.00",NA
"275","6213","CP0713"
"276","6213.00",NA
"277","6214",NA
"278","6214.01",NA
"279","6214.02",NA
"280","6215",NA
"281","6215.01",NA
"282","6215.02",NA
"283","6215.03",NA
"284","6216",NA
"285","6216.00",NA
"286","6217",NA
"287","6217.01",NA
"288","6217.02",NA
"289","6217.03",NA
"290","6217.04",NA
"291","6217.05",NA
"292","622","CP073"
"293","6221","CP0731"
"294","6221.01",NA
"295","6221.02",NA
"296","6222","CP0732"
"297","6222.01",NA
"298","6222.02",NA
"299","6223","CP0733"
"300","6223.00",NA
"301","6224","CP0734"
"302","6224.00",NA
"303","6225","CP0735"
"304","6225.01",NA
"305","6225.02",NA
"306","6225.03",NA
"307","6225.04",NA
"308","6226","CP0736"
"309","6226.00",NA
"310","63","CP08"
"311","631","CP081"
"312","6310",NA
"313","6310.00",NA
"314","632","CP082"
"315","6321",NA
"316","6321.00",NA
"317","6322",NA
"318","6322.01",NA
"319","6322.02",NA
"320","6322.03",NA
"321","6322.04",NA
"322","6323",NA
"323","6323.01",NA
"324","6323.02",NA
"325","6323.03",NA
"326","6324",NA
"327","6324.01",NA
"328","6324.02",NA
"329","66","CP09"
"330","661","CP091"
"331","6611","CP0911"
"332","6611.00",NA
"333","6612","CP0912"
"334","6612.00",NA
"335","6613","CP0913"
"336","6613.01",NA
"337","6613.02",NA
"338","6614","CP0914"
"339","6614.01",NA
"340","6614.02",NA
"341","6614.03",NA
"342","662","CP092"
"343","6621","CP0921"
"344","6621.00",NA
"345","6622","CP0931"
"346","6622.01",NA
"347","6622.02",NA
"348","6622.03",NA
"349","6622.04",NA
"350","6623","CP0932"
"351","6623.01",NA
"352","6623.02",NA
"353","6623.03",NA
"354","6624","CP0933"
"355","6624.00",NA
"356","6625","CP0934"
"357","6625.01",NA
"358","6625.02","CP0935"
"359","663","CP094"
"360","6631","CP0941"
"361","6631.01",NA
"362","6631.02",NA
"363","6631.03",NA
"364","6631.04",NA
"365","6631.05",NA
"366","6631.06",NA
"367","6631.07",NA
"368","6631.08",NA
"369","6631.09",NA
"370","6632","CP0942"
"371","6632.01",NA
"372","6632.02",NA
"373","6632.03",NA
"374","6632.04",NA
"375","6632.05",NA
"376","6632.06",NA
"377","6632.07",NA
"378","6632.08",NA
"379","6632.09",NA
"380","6633","CP0943"
"381","6633.00",NA
"382","664","CP095"
"383","6641","CP0951"
"384","6641.00",NA
"385","6642","CP0952"
"386","6642.01",NA
"387","6642.02",NA
"388","6643","CP0953"
"389","6643.01",NA
"390","6643.02",NA
"391","665","CP096"
"392","6650","CP0960"
"393","6650.00",NA
"394","67","CP10"
"395","670",NA
"396","6700",NA
"397","6700.01",NA
"398","6700.02",NA
"399","6700.03",NA
"400","6700.04",NA
"401","68",NA
"402","681","CP121"
"403","6811",NA
"404","6811.01",NA
"405","6811.02",NA
"406","6811.03",NA
"407","6811.04",NA
"408","6811.05",NA
"409","6811.06",NA
"410","6811.07",NA
"411","6812","CP1211"
"412","6812.00",NA
"413","682","CP123"
"414","6820",NA
"415","6820.01",NA
"416","6820.02",NA
"417","6820.03",NA
"418","683",NA
"419","6831",NA
"420","6831.00",NA
"421","6832",NA
"422","6832.00",NA
"423","6833",NA
"424","6833.01",NA
"425","6833.02",NA
"426","6833.03",NA
"427","6833.04",NA
"428","6833.05",NA
"429","6834",NA
"430","6834.00",NA
"431","30",NA
"432","31",NA
"433","310",NA
"434","3100",NA
"435","3100.01",NA
"436","3100.02",NA
"437","3100.03",NA
"438","3100.04",NA
"439","3100.05",NA
"440","32",NA
"441","320",NA
"442","3200",NA
"443","3200.01",NA
"444","3200.02",NA
"445","3200.03",NA
"446","3200.04",NA
"447","3200.05",NA
"448","33",NA
"449","330",NA
"450","3300",NA
"451","3300.01",NA
"452","3300.02",NA
"453","35",NA
"454","36",NA
"455","360",NA
"456","3600",NA
"457","3600.01",NA
"458","3600.02",NA
"459","3600.03",NA
"460","40",NA
"461","41",NA
"462","410",NA
"463","4100",NA
"464","4100.01",NA
"465","4100.02",NA
"466","42",NA
"467","420",NA
"468","4201",NA
"469","4201.01",NA
"470","4201.02",NA
"471","4201.03",NA
"472","4201.04",NA
"473","4202",NA
"474","4202.01",NA
"475","4202.02",NA
"476","4203",NA
"477","4203.01",NA
"478","4203.02",NA
"479","4203.03",NA
"480","4203.04",NA
"481","43",NA
"482","430",NA
"483","4300",NA
"484","4300.01",NA
"485","4300.02",NA
"486","4300.03",NA
"487","4300.04",NA
"488","4300.05",NA
"489","4300.06",NA
"490","44",NA
"491","441",NA
"492","4410",NA
"493","4410.00",NA
"494","442",NA
"495","4421",NA
"496","4421.01",NA
"497","4421.02",NA
"498","4422",NA
"499","4422.00",NA
"500","4423",NA
"501","4423.01",NA
"502","4423.02",NA
"503","4423.03",NA
"504","4423.04",NA
"505","4423.05",NA
"506","4423.06",NA
"507","4423.07",NA
"508","4423.08",NA
"509","4424",NA
"510","4424.01",NA
"511","4424.02",NA
"512","4425",NA
"513","4425.00",NA
"514","4426",NA
"515","4426.00",NA
"516","4427",NA
"517","4427.01",NA
"518","4427.02",NA
"519","4427.03",NA
"520","4427.04",NA
"521","4427.05",NA
"522","4427.06",NA
"523","4428",NA
"524","4428.01",NA
"525","4428.02",NA
"526","4428.03",NA
"527","80",NA
"528","81",NA
"529","810",NA
"530","8100",NA
"531","8100.01",NA
"532","8100.02",NA
